prodotto_id,rank,anno,mese,mese_nome,periodo,kg_totali_storici,quota_globale_pct,storico_mese_kg,predizione_kg,adjustment_stagionale,variazione_pct,ricavo_lordo_stimato,ricavo_netto_stimato,metodo_globale
40006,5,2025,5,Mag,2025-05,269192.0,5.512803183532186,8.157333333333334,6.6016581516554425,1.0909090909090908,-19.070879147734853,3.5208843475495692,2.640663260662177,SARIMA
40006,5,2025,6,Giu,2025-06,269192.0,5.512803183532186,8.138666666666667,7.887584247082684,1.0884127314333265,-3.0850559418084456,4.206711598444098,3.1550336988330736,SARIMA
40006,5,2025,7,Lug,2025-07,269192.0,5.512803183532186,6.143666666666667,6.849391168421212,0.8216143124609944,11.487024606714957,3.6530086231579797,2.739756467368485,SARIMA
40006,5,2025,8,Ago,2025-08,269192.0,5.512803183532186,7.504,6.632086330160563,1.003536509257333,-11.619318627924258,3.5371127094189667,2.6528345320642255,SARIMA
40006,5,2025,9,Set,2025-09,269192.0,5.512803183532186,7.393166666666667,5.5182347270085135,0.9887143748699813,-25.360336432175924,2.9430585210712072,2.2072938908034057,SARIMA
40006,5,2025,10,Ott,2025-10,269192.0,5.512803183532186,7.382666666666667,6.353404800221045,0.9873101726648638,-13.941600141488465,3.388482560117891,2.541361920088418,SARIMA
40006,5,2025,11,Nov,2025-11,269192.0,5.512803183532186,8.6835,7.671167873068088,1.161275223632203,-11.658111670776904,4.09128953230298,3.068467149227235,SARIMA
40006,5,2025,12,Dic,2025-12,269192.0,5.512803183532186,5.749333333333333,4.334479395451798,0.7688787185354691,-24.609008659813338,2.311722344240959,1.7337917581807194,SARIMA
40211,6,2025,1,Gen,2025-01,217357.0,4.451270325875232,4.265333333333333,3.9018997794835317,0.7064506779169752,-8.520636617297628,1.957474805760969,1.4681061043207266,SARIMA
40211,6,2025,2,Feb,2025-02,217357.0,4.451270325875232,6.610333333333333,5.6780099824226635,1.0948439663778944,-14.10402931134087,2.848499991181938,2.1363749933864535,SARIMA
40211,6,2025,3,Mar,2025-03,217357.0,4.451270325875232,5.804166666666667,4.378955634546865,0.9613216965637178,-24.55496394176255,2.196800485558628,1.647600364168971,SARIMA
40211,6,2025,4,Apr,2025-04,217357.0,4.451270325875232,7.051333333333333,4.4185121782306185,1.1678850922675599,-37.33791937840666,2.2166449054668655,1.662483679100149,SARIMA
40211,6,2025,5,Mag,2025-05,217357.0,4.451270325875232,6.820333333333333,5.519635805860658,1.1296254548967828,-19.070879147734832,2.7690480631407985,2.076786047355599,SARIMA
40211,6,2025,6,Giu,2025-06,217357.0,4.451270325875232,7.194833333333333,6.97286870008012,1.191652442755467,-3.0850559418084234,3.4980946655920335,2.623570999194025,SARIMA
40211,6,2025,7,Lug,2025-07,217357.0,4.451270325875232,5.544,6.1808406441962775,0.9182312968986506,11.487024606714979,3.1007561760181996,2.3255671320136493,SARIMA
40211,6,2025,8,Ago,2025-08,217357.0,4.451270325875232,6.475,5.722649118841905,1.0724292293323887,-11.619318627924248,2.8708942067768755,2.1531706550826564,SARIMA
40211,6,2025,9,Set,2025-09,217357.0,4.451270325875232,5.573166666666667,4.1597928500741155,0.9230620591929407,-25.360336432175934,2.0868526003716297,1.5651394502787224,SARIMA
40211,6,2025,10,Ott,2025-10,217357.0,4.451270325875232,6.199666666666667,5.335333929894855,1.0268268332742907,-13.941600141488452,2.676588928040897,2.0074416960306727,SARIMA
40211,6,2025,11,Nov,2025-11,217357.0,4.451270325875232,5.955833333333333,5.2614956324079785,0.9864416604940259,-11.658111670776904,2.639546303883601,1.9796597279127008,SARIMA
40211,6,2025,12,Dic,2025-12,217357.0,4.451270325875232,4.958333333333333,3.7381366539509218,0.8212295900293066,-24.609008659813338,1.8753193916141748,1.406489543710631,SARIMA
40054,7,2025,1,Gen,2025-01,196026.6,4.014443462424554,6.060599999999999,5.54419829717206,1.1130203758061405,-8.520636617297617,4.158148722879045,3.1681133126697483,SARIMA
40054,7,2025,2,Feb,2025-02,196026.6,4.014443462424554,6.115900000000001,5.253311671347704,1.1231761403809484,-14.104029311340883,3.939983753510778,3.001892383627259,SARIMA
40054,7,2025,3,Mar,2025-03,196026.6,4.014443462424554,5.978700000000001,4.510632370813843,1.0979795599168685,-24.55496394176255,3.382974278110382,2.577504211893624,SARIMA
40054,7,2025,4,Apr,2025-04,196026.6,4.014443462424554,5.8373,3.657773632124268,1.072011655561031,-37.33791937840666,2.743330224093201,2.0901563612138676,SARIMA
40054,7,2025,5,Mag,2025-05,196026.6,4.014443462424554,6.063400000000001,4.907056313756246,1.113534591733979,-19.070879147734843,3.680292235317184,2.8040321792892833,SARIMA
40054,7,2025,6,Giu,2025-06,196026.6,4.014443462424554,4.8902,4.739334594333683,0.898078117969704,-3.0850559418084567,3.554500945750262,2.7081911967621046,SARIMA
40054,7,2025,7,Lug,2025-07,196026.6,4.014443462424554,4.9392000000000005,5.506567119374867,0.9070768967068756,11.487024606714979,4.12992533953115,3.1466097824999237,SARIMA
40054,7,2025,8,Ago,2025-08,196026.6,4.014443462424554,4.1468,3.6649700951372375,0.7615537891286183,-11.619318627924235,2.7487275713529282,2.094268625792707,SARIMA
40054,7,2025,9,Set,2025-09,196026.6,4.014443462424554,5.822600000000001,4.345969050900125,1.0693120219398797,-25.360336432175934,3.259476788175094,2.483410886228643,SARIMA
40054,7,2025,10,Ott,2025-10,196026.6,4.014443462424554,5.2626,4.528909350954029,0.9664688363722067,-13.941600141488442,3.3966820132155218,2.5879482005451595,SARIMA
40054,7,2025,11,Nov,2025-11,196026.6,4.014443462424554,5.3403,4.717721862445501,0.9807383283697213,-11.658111670776904,3.5382913968341256,2.6958410642545716,SARIMA
40054,7,2025,12,Dic,2025-12,196026.6,4.014443462424554,4.8846,3.6825483630027565,0.8970496861140272,-24.60900865981336,2.7619112722520676,2.1043133502872893,SARIMA
40002,8,2025,1,Gen,2025-01,133565.0,2.7352876653410076,3.6516666666666664,3.340521419525015,0.9842398832029349,-8.520636617297617,0.0,0.0,SARIMA
40002,8,2025,2,Feb,2025-02,133565.0,2.7352876653410076,3.1533333333333333,2.708586275715718,0.8499232583386367,-14.10402931134086,0.0,0.0,SARIMA
40002,8,2025,3,Mar,2025-03,133565.0,2.7352876653410076,4.15,3.130968996416854,1.1185565080672333,-24.55496394176255,0.0,0.0,SARIMA
40002,8,2025,4,Apr,2025-04,133565.0,2.7352876653410076,4.396666666666667,2.755042811329387,1.1850409912776552,-37.33791937840667,0.0,0.0,SARIMA
40002,8,2025,5,Mag,2025-05,133565.0,2.7352876653410076,3.2966666666666664,2.667963350763008,0.8885561337176655,-19.070879147734843,0.0,0.0,SARIMA
